timestamp,local_atm,sea_level_atm,precipitation,temperature,dew_point,vapor_pressure,humidity,wind_speed,wind_direction,sunshine_duration,total_solar_radiation,snowfall,snow_depth,weather,cloudiness,visibility
2018-11-18 01:00:00+09:00,1015.7,1018.6,--,13.1,5.8,9.2,61,1.4,北東,,,×,×,,,
2018-11-18 02:00:00+09:00,1015.4,1018.3,--,12.7,7.0,10.0,68,1.7,北東,,,×,×,,,
2018-11-18 03:00:00+09:00,1015.4,1018.3,--,12.8,6.6,9.8,66,1.8,北,,,×,×,,10-,20.0
2018-11-18 04:00:00+09:00,1015.6,1018.5,--,12.3,6.6,9.7,68,2.1,北北東,,,×,×,,,
2018-11-18 05:00:00+09:00,1016.3,1019.2,--,11.6,6.9,10.0,73,1.8,北,,,×,×,,,
2018-11-18 06:00:00+09:00,1016.6,1019.5,--,11.3,7.2,10.2,76,1.5,北北西,,0.0,×,×,,10-,20.0
2018-11-18 07:00:00+09:00,1017.6,1020.6,--,11.0,7.1,10.1,77,1.8,北,0.0,0.06,×,×,,,
2018-11-18 08:00:00+09:00,1017.9,1020.8,--,12.4,7.5,10.4,72,1.7,北北東,0.6,0.6,×,×,,,
2018-11-18 09:00:00+09:00,1018.0,1020.9,--,13.2,8.3,10.9,72,3.1,北北東,0.5,0.82,×,×,,10-,25.0
2018-11-18 10:00:00+09:00,1017.6,1020.5,--,13.9,8.3,11.0,69,1.8,北,0.5,1.22,×,×,,,
2018-11-18 11:00:00+09:00,1016.5,1019.4,--,15.1,9.0,11.5,67,2.2,北北東,0.9,1.63,×,×,,,
2018-11-18 12:00:00+09:00,1015.0,1017.9,--,15.7,9.4,11.8,66,1.3,北,0.7,1.41,×,×,,10-,25.0
2018-11-18 13:00:00+09:00,1014.3,1017.2,--,16.1,9.1,11.5,63,1.6,北北西,0.7,1.44,×,×,,,
2018-11-18 14:00:00+09:00,1014.2,1017.1,--,15.8,9.5,11.8,66,1.4,東,0.0,0.58,×,×,,,
2018-11-18 15:00:00+09:00,1014.4,1017.3,--,15.9,9.3,11.7,65,1.9,東,0.0,0.37,×,×,,10-,25.0
2018-11-18 16:00:00+09:00,1014.8,1017.7,--,15.4,9.1,11.5,66,2.3,東,0.0,0.15,×,×,,,
2018-11-18 17:00:00+09:00,1014.9,1017.8,--,14.7,9.5,11.9,71,3.2,東北東,0.0,0.01,×,×,,,
2018-11-18 18:00:00+09:00,1015.4,1018.3,--,14.3,9.3,11.7,72,3.2,北東,,0.0,×,×,,10-,20.0
2018-11-18 19:00:00+09:00,1015.7,1018.6,--,14.2,9.0,11.5,71,2.5,北東,,,×,×,,,
2018-11-18 20:00:00+09:00,1015.8,1018.7,--,14.0,8.8,11.3,71,2.8,東北東,,,×,×,,,
2018-11-18 21:00:00+09:00,1015.2,1018.1,--,14.2,8.6,11.2,69,3.5,東北東,,,×,×,,10-,20.0
2018-11-18 22:00:00+09:00,1014.6,1017.5,0.0,14.1,9.1,11.6,72,2.3,北東,,,×,×,,,
2018-11-18 23:00:00+09:00,1013.9,1016.8,--,14.0,9.3,11.7,73,1.0,北東,,,×,×,,,
2018-11-19 00:00:00+09:00,1013.1,1016.0,0.0,13.6,9.7,12.0,77,1.0,北東,,,×,×,,,
