timestamp,local_atm,sea_level_atm,precipitation,temperature,dew_point,vapor_pressure,humidity,wind_speed,wind_direction,sunshine_duration,total_solar_radiation,snowfall,snow_depth,weather,cloudiness,visibility
2018-11-09 01:00:00+09:00,1019.6,1022.5,0.0,14.9,14.6,16.6,98,3.2,北西,,,×,×,,,
2018-11-09 02:00:00+09:00,1019.1,1022.0,1.0,14.6,14.6,16.6,100,1.9,北北西,,,×,×,,,
2018-11-09 03:00:00+09:00,1018.8,1021.7,0.5,14.2,14.2,16.2,100,2.0,北北西,,,×,×,,10,5.0
2018-11-09 04:00:00+09:00,1018.7,1021.6,0.0,14.2,14.2,16.2,100,2.4,北北西,,,×,×,,,
2018-11-09 05:00:00+09:00,1018.4,1021.3,0.0,14.4,14.4,16.4,100,2.1,北北西,,,×,×,,,
2018-11-09 06:00:00+09:00,1018.3,1021.2,0.0,14.4,14.4,16.4,100,1.7,北西,,0.0,×,×,,10,5.0
2018-11-09 07:00:00+09:00,1018.7,1021.6,0.5,14.6,14.6,16.6,100,2.6,西北西,0.0,0.02,×,×,,,
2018-11-09 08:00:00+09:00,1018.7,1021.6,0.0,14.5,14.5,16.5,100,2.0,北北西,0.0,0.13,×,×,,,
2018-11-09 09:00:00+09:00,1018.7,1021.6,0.5,14.5,14.5,16.5,100,2.0,北北西,0.0,0.19,×,×,,10,4.0
2018-11-09 10:00:00+09:00,1018.2,1021.1,0.0,14.8,14.8,16.8,100,1.8,北西,0.0,0.24,×,×,,,
2018-11-09 11:00:00+09:00,1017.8,1020.7,0.0,15.5,15.2,17.3,98,1.2,北北東,0.0,0.36,×,×,,,
2018-11-09 12:00:00+09:00,1016.2,1019.1,--,16.7,15.9,18.1,95,1.2,北東,0.0,0.57,×,×,,10-,7.0
2018-11-09 13:00:00+09:00,1016.0,1018.9,0.0,17.0,16.7,19.0,98,0.9,北西,0.0,0.51,×,×,,,
2018-11-09 14:00:00+09:00,1015.3,1018.2,0.5,16.3,16.3,18.5,100,1.1,北西,0.0,0.11,×,×,,,
2018-11-09 15:00:00+09:00,1015.8,1018.7,1.5,16.4,16.4,18.7,100,2.0,南南西,0.0,0.06,×,×,,10,5.0
2018-11-09 16:00:00+09:00,1015.6,1018.5,1.5,16.2,16.2,18.4,100,2.2,西北西,0.0,0.03,×,×,,,
2018-11-09 17:00:00+09:00,1015.2,1018.1,0.5,16.5,16.5,18.8,100,3.2,南南東,0.0,0.01,×,×,,,
2018-11-09 18:00:00+09:00,1014.7,1017.6,0.5,16.6,16.6,18.9,100,1.6,北北西,,0.0,×,×,,10,4.0
2018-11-09 19:00:00+09:00,1015.0,1017.9,--,16.1,16.1,18.3,100,1.6,北北東,,,×,×,,,
2018-11-09 20:00:00+09:00,1016.0,1018.9,--,16.2,16.2,18.4,100,1.1,北東,,,×,×,,,
2018-11-09 21:00:00+09:00,1015.9,1018.8,--,16.3,16.3,18.5,100,1.0,北東,,,×,×,,10,4.0
2018-11-09 22:00:00+09:00,1015.4,1018.3,--,16.1,16.1,18.3,100,1.8,北西,,,×,×,,,
2018-11-09 23:00:00+09:00,1015.3,1018.2,--,16.3,16.3,18.5,100,1.5,北西,,,×,×,,,
2018-11-10 00:00:00+09:00,1015.0,1017.9,0.0,16.2,16.2,18.4,100,1.7,西北西,,,×,×,,,
