timestamp,local_atm,sea_level_atm,precipitation,temperature,dew_point,vapor_pressure,humidity,wind_speed,wind_direction,sunshine_duration,total_solar_radiation,snowfall,snow_depth,weather,cloudiness,visibility
2018-07-01 01:00:00+09:00,1016.0,1018.8,--,26.4,23.9,29.6,86,5.4,南,,,×,×,,,
2018-07-01 02:00:00+09:00,1015.9,1018.7,--,26.1,24.0,29.8,88,3.7,南,,,×,×,,,
2018-07-01 03:00:00+09:00,1015.8,1018.6,--,25.8,23.9,29.6,89,4.1,南,,,×,×,,1,20.0
2018-07-01 04:00:00+09:00,1016.2,1019.0,--,25.6,23.8,29.6,90,3.7,南,,0.0,×,×,,,
2018-07-01 05:00:00+09:00,1016.6,1019.4,--,25.7,23.9,29.7,90,3.2,南南西,0.0,0.03,×,×,,,
2018-07-01 06:00:00+09:00,1016.9,1019.7,--,26.1,24.2,30.1,89,3.9,南,0.9,0.42,×,×,,9,20.0
2018-07-01 07:00:00+09:00,1017.2,1020.0,--,27.7,23.7,29.4,79,5.6,南,1.0,1.12,×,×,,,
2018-07-01 08:00:00+09:00,1017.1,1019.9,--,28.8,23.9,29.7,75,5.8,南南西,1.0,1.71,×,×,,,
2018-07-01 09:00:00+09:00,1017.0,1019.8,--,29.2,24.5,30.8,76,4.1,南南東,0.9,2.31,×,×,,4,15.0
2018-07-01 10:00:00+09:00,1016.9,1019.7,--,29.4,24.7,31.2,76,5.1,南東,0.9,2.59,×,×,,,
2018-07-01 11:00:00+09:00,1016.5,1019.2,--,30.3,24.5,30.7,71,4.9,南南東,0.8,2.84,×,×,,,
2018-07-01 12:00:00+09:00,1015.9,1018.6,--,31.1,24.5,30.7,68,5.4,南南東,1.0,3.41,×,×,,3,20.0
2018-07-01 13:00:00+09:00,1015.3,1018.0,--,31.1,23.7,29.4,65,6.2,南南東,1.0,3.4,×,×,,,
2018-07-01 14:00:00+09:00,1014.9,1017.6,--,31.3,24.2,30.2,66,6.5,南南東,1.0,3.12,×,×,,,
2018-07-01 15:00:00+09:00,1014.2,1016.9,--,30.9,23.6,29.1,65,6.0,南南東,1.0,2.75,×,×,,1,20.0
2018-07-01 16:00:00+09:00,1014.0,1016.7,--,30.2,22.9,27.9,65,6.1,南,1.0,2.15,×,×,,,
2018-07-01 17:00:00+09:00,1014.0,1016.7,--,29.5,22.5,27.2,66,7.5,南,1.0,1.46,×,×,,,
2018-07-01 18:00:00+09:00,1014.1,1016.9,--,28.3,21.3,25.4,66,5.7,南,1.0,0.73,×,×,,0+,20.0
2018-07-01 19:00:00+09:00,1014.0,1016.8,--,27.7,21.3,25.3,68,6.6,南,0.6,0.15,×,×,,,
2018-07-01 20:00:00+09:00,1014.1,1016.9,--,27.1,21.6,25.8,72,6.8,南,,0.0,×,×,,,
2018-07-01 21:00:00+09:00,1014.4,1017.2,--,26.7,21.9,26.3,75,5.3,南,,,×,×,,0,20.0
2018-07-01 22:00:00+09:00,1014.6,1017.4,--,26.8,22.0,26.4,75,8.1,南南西,,,×,×,,,
2018-07-01 23:00:00+09:00,1014.5,1017.3,--,26.3,21.5,25.7,75,4.8,南南西,,,×,×,,,
2018-07-02 00:00:00+09:00,1014.0,1016.8,--,26.3,21.3,25.3,74,3.7,南南西,,,×,×,,,
