timestamp,local_atm,sea_level_atm,precipitation,temperature,relative_humidity,ave_wind_speed,wind_direction_ave,max_wind_speed,wind_direction_max,sunshine_duration
2018-08-22 00:10:00+09:00,1010.3,1013.1,--,27.4,89,5.5,南,10.3,南,
2018-08-22 00:20:00+09:00,1010.2,1013.0,--,27.5,89,5.1,南,8.6,南,
2018-08-22 00:30:00+09:00,1010.1,1012.9,--,27.4,89,5.7,南,9.6,南,
2018-08-22 00:40:00+09:00,1010.2,1013.0,--,27.5,88,4.9,南,8.3,南,
2018-08-22 00:50:00+09:00,1010.1,1012.9,--,27.4,89,5.4,南,9.4,南南西,
2018-08-22 01:00:00+09:00,1010.2,1013.0,--,27.5,88,5.6,南,9.0,南南西,
2018-08-22 01:10:00+09:00,1010.2,1013.0,--,27.5,88,5.0,南,8.0,南南東,
2018-08-22 01:20:00+09:00,1010.3,1013.1,--,27.5,88,4.9,南,7.5,南,
2018-08-22 01:30:00+09:00,1010.2,1013.0,--,27.5,86,3.6,南南西,7.5,南西,
2018-08-22 01:40:00+09:00,1010.2,1013.0,--,27.5,87,4.9,南南西,9.2,南南西,
2018-08-22 01:50:00+09:00,1010.3,1013.1,--,27.5,87,4.1,南,6.8,南,
2018-08-22 02:00:00+09:00,1010.3,1013.1,--,27.5,88,4.4,南,8.3,南,
2018-08-22 02:10:00+09:00,1010.3,1013.1,--,27.4,88,4.2,南,6.8,南南東,
2018-08-22 02:20:00+09:00,1010.3,1013.1,--,27.3,88,4.6,南,7.8,南西,
2018-08-22 02:30:00+09:00,1010.2,1013.0,0.0,27.4,87,5.3,南,8.2,南南西,
2018-08-22 02:40:00+09:00,1010.2,1013.0,0.0,27.4,88,4.3,南,7.5,南,
2018-08-22 02:50:00+09:00,1010.3,1013.1,--,27.4,88,4.7,南南西,8.6,南南西,
2018-08-22 03:00:00+09:00,1010.4,1013.2,--,27.4,88,2.9,南,4.8,南南東,
2018-08-22 03:10:00+09:00,1010.4,1013.2,--,27.2,88,3.5,南南西,5.6,南南西,
2018-08-22 03:20:00+09:00,1010.4,1013.2,--,27.3,88,3.4,南,6.9,南南西,
2018-08-22 03:30:00+09:00,1010.4,1013.2,--,27.2,88,3.6,南,7.0,南,
2018-08-22 03:40:00+09:00,1010.4,1013.2,--,27.0,89,3.5,南,6.4,南,
2018-08-22 03:50:00+09:00,1010.4,1013.2,--,27.3,87,3.5,南南西,7.2,南西,
2018-08-22 04:00:00+09:00,1010.4,1013.2,--,27.0,89,3.7,南南西,7.4,南南西,
2018-08-22 04:10:00+09:00,1010.4,1013.2,--,27.0,89,3.9,南南西,8.1,南西,
2018-08-22 04:20:00+09:00,1010.5,1013.3,--,27.1,89,3.9,南,7.8,南南西,
2018-08-22 04:30:00+09:00,1010.5,1013.3,--,27.0,88,3.8,南,8.0,南,
2018-08-22 04:40:00+09:00,1010.5,1013.3,--,27.1,88,3.0,南南西,6.0,南南西,
2018-08-22 04:50:00+09:00,1010.7,1013.5,--,27.0,89,3.6,南,6.7,南南西,
2018-08-22 05:00:00+09:00,1010.8,1013.6,--,27.1,89,3.6,南南西,6.4,南南西,
2018-08-22 05:10:00+09:00,1010.8,1013.6,--,26.9,90,3.7,南,7.0,南,0.0
2018-08-22 05:20:00+09:00,1010.8,1013.6,--,27.0,89,4.2,南,8.1,南,0.0
2018-08-22 05:30:00+09:00,1010.8,1013.6,--,27.0,89,4.3,南,7.0,南南西,0.0
